Community,Religieux-Religieuses,Corps,Corps-Officiel,Province,Site,Site-2,Country,lat,lon,Number-Approx,Total Enslaved Persons,Empire,sphere,Approximate Year of Data,Reference,Note,NamesofReligious,RefRel,Contract of Founding,Summary of Contract,Ref for Contract
Augustinian Hospitallers,Religieuses,Augustines Hospitalières,Congrégation des Chanoinesses régulières hospitalières de la miséricorde de Jésus de l'ordre de Saint-Augustin,Hôpital-Général de Québec (run by the Canonesses of St. Augustine of the Mercy of Jesus),"Quebec City, Quebec",Québec,Canada,46.8167,-71.2167,1,1,French,2,1720,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013.","The sisters at the Hôpital-Général de Québec owned one enslaved person of African descent, who had deserted from the English colonies, donated to them by the Governor-General and baptized in 1733. ",,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Jean-Rabel, Haiti",Jean Rabel,Haiti,19.855714,-73.192398,0,0,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 05. Aix-en-Provence.",,,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Port-Margot, Haiti",Port Margot,Haiti,19.75406,-72.46392,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 02. Aix-en-Provence.",,,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Pilate, Haiti",Pilate Plaisance,Haiti,19.66721,-72.5495,2,2,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 03. Aix-en-Provence.",,,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Plaine-Du-Nord, Haiti",la Plaine du Nord,Haiti,19.681231,-72.266113,3,3,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 01. Aix-en-Provence.",,,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Gros-Morne, Haiti",le Gros Morne,Haiti,19.669533,-72.673951,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 04. Aix-en-Provence.",,,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Bainet, Haiti",Baynet,Haiti,18.1855,-72.7555,6,6,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 06. Aix-en-Provence.",,,,,,
Other (Mostly Secular),Séculiers,Autre clergé colonial,Séculiers (Not Mission Property),Séculiers (Propriétés des Prêtres),"Dondon, Haiti",Dondon,Haiti,19.5203,-72.271301,6,6,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 00. Aix-en-Provence.","We have glimpses into the lives of enslaved people held by the long-time curé of this parish, Father Guilaume Silvestre Delahaye, present in the parish at least since the mid 1770s, based on the interrogation of him carried out by Civil Commissioner Sonthonax on Feb. 1, 1793 (AN D/XXV/5, Dossier 53, Pièce 33). Delahaye was among the priests who accompanied some of the insurgents of the Northern Plains Uprising. He makes several mentions of a ""mulâtresse,"" among his slaves, a close confidant. He also mentions that his plantation was not spared by the insurgents.  A ""codicil"" to Delahaye's will, submitted upon his return in late 1792, provides for the manumission of three ""mulâtresses,"" firstly, Françoise, then Catherine and Florence (AN D/XXV/5, Dossier 49, Pièce 19).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,New Orleans,New Orleans,United States,29.9582008,-90.06329269,38,38,Spanish,4,1799,"Clark, Emily. <em>Masterless Mistresses: The New Orleans Ursulines and the Development of a New World Society, 1727–1834</em>. Williamsburg, VA: Omohundro Institute of Early American History and Culture; Chapel Hill: University of North Carolina Press, 2007, 169. Pastor, Lori Renee. ""Black Catholicism: Religion and Slavery in Antebellum Louisiana."" PhD diss., Louisiana State University and Agricultural and Mechanical College, 2005, 58.","All the major Catholic communities in greater New Orleans possessed slaves, including the Jesuits before their expulsion in the middle of the eighteenth century. In 1770, the plantation operated by the French, and French- and Spanish-Creole Ursuline nuns of New Orleans was home to 61 slaves, and in 1791, 17 slaves were recorded as living in the convent itself (24 in 1795). By the turn of the nineteenth century, the Ursuline and Capuchin establishments collectively claimed 123 enslaved dependents. This figure for the Capuchins is an estimate based on the number of reported enslaved individuals residing on two Ursuline properties (the plantation, 61; the convent, 24) in the late 18th century, according to Emily Clark's research.",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,St. Martin,St. Martin,St. Martin,18.083333,-63.05,1,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 399.","""Les Capucins desservent encore les trois paroisses de St. Martin[,] de Saint Barthelemy, et de la désirade, deux de ces Isles sont actuellement sans curé[.] on n’y fit point inventaire en 1773."" (p. 399)",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,,St. Barthélémy,St. Barthélémy,St. Barthélémy,17.9,-62.833333,1,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 399.","""Les Capucins desservent encore les trois paroisses de St. Martin[,] de Saint Barthelemy, et de la désirade, deux de ces Isles sont actuellement sans curé[.] on n’y fit point inventaire en 1773."" (p. 399)",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,Le trou du Chat,Ducos,Martinique,14.57633696,-60.9748008,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
Capuchins,Religieux,Capucins,Ordre des Frères mineurs capucins,Capuchins of Martinique,[Paroisse et] Maison principale,"Fort Royal, Martinique",Martinique,14.60647876,-61.06966493,2,Unknown Number,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 371–372.","The author of the report ""Etat du Clergé du département de la Marine"" (1782) writes that there are 23 enslaved people across the Capuchin parishes on Martinique (""Selon les...administrateurs, les capucins n’ont à eux que quelques Negres répandus dans les différens presbiteres pour le Service des Curés"" (23 divided by 11 sites would be about 2 enslaved servants per site, although the principal residence of the Capuchins in Fort Royal may have had more servants than the others).",,,,,
